dataset,packet_count,symbol_count,savaux_oversampled_err,loratrimmer_err,symfec_err,unichirp_err,savaux_oversampled_ser,loratrimmer_ser,symfec_ser,unichirp_ser
0_0_0_10_14_16,27,945,51,123,385,220,0.05396825396825397,0.13015873015873017,0.4074074074074074,0.2328042328042328
0_0_0_10_14_32,27,945,293,301,404,315,0.3100529100529101,0.31851851851851853,0.4275132275132275,0.3333333333333333
0_0_0_10_14_8,27,945,40,98,321,183,0.042328042328042326,0.1037037037037037,0.3396825396825397,0.19365079365079366
