event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,1835008,2179072,112,129,18,16036,-348,16036,16036,8219296.087220099,4.372817203301156,0.735786254545352,12,125000.0,500000.0,4,16384,4,16384,13,2
1,4341760,4685824,265,282,18,1262,1262,1262,1263,3501353.718825638,0.4178297295291562,0.33843001368988473,12,125000.0,500000.0,4,16384,4,16384,13,2
2,6832128,7192576,417,435,19,15223,-1161,15223,15223,3859276.9527257727,4.339055744376254,0.6097109747280902,12,125000.0,500000.0,4,16384,4,16384,13,2
3,9338880,9699328,570,588,19,394,394,394,394,5905753.434209618,9.392374164972884,0.7738767553264432,12,125000.0,500000.0,4,16384,4,16384,13,2
4,11894784,12189696,726,740,15,1974,1974,1974,1974,4551702.0749064125,0.9578466611809773,0.2664034852449808,12,125000.0,500000.0,4,16384,4,16384,13,2
5,14336000,14696448,875,893,19,15800,-584,15800,15800,10185638.676535312,10.277130435783937,0.8438434867670935,12,125000.0,500000.0,4,16384,4,16384,13,2
6,16842752,17203200,1028,1046,19,1048,1048,1048,1048,5308524.1208148375,2.7882166249808744,0.4672365539857111,12,125000.0,500000.0,4,16384,4,16384,13,2
7,19333120,19693568,1180,1198,19,14952,-1432,14952,14952,2076454.4045444946,1.8993341362691603,0.4888932563140418,12,125000.0,500000.0,4,16384,4,16384,13,2
8,21839872,22183936,1333,1350,18,179,179,179,179,5583670.35229914,10.20933468951423,0.8368617322940819,12,125000.0,500000.0,4,16384,4,16384,13,2
9,24363008,24707072,1487,1504,18,1772,1772,1772,1772,2592106.0148988552,1.918801853080855,0.3030740296932773,12,125000.0,500000.0,4,16384,4,16384,13,2
10,26836992,27181056,1638,1655,18,15595,-789,15595,15595,7758107.802588572,5.378221205997416,0.7478056295482871,12,125000.0,500000.0,4,16384,4,16384,13,2
11,29343744,29704192,1791,1809,19,808,808,808,808,4256636.891856013,7.13759515221149,0.6189290752412292,12,125000.0,500000.0,4,16384,4,16384,13,2
12,31834112,32178176,1943,1960,18,14679,-1705,14679,14679,2462215.871881745,2.9415202164659053,0.5698855765068545,12,125000.0,500000.0,4,16384,4,16384,13,2
13,34340864,34619392,2096,2109,14,16302,-82,16302,16302,5419573.991191813,4.200014732919838,0.6401247812523947,12,125000.0,500000.0,4,16384,4,16384,13,2
