event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,5980160,6307840,365,381,17,15285,-1099,15285,15285,0.1393960331377136,1.5904748804550868,0.0010679863558792785,12,125000.0,500000.0,4,16384,4,16384,13,2
1,8519680,8798208,520,533,14,398,398,398,398,0.2734592649586765,3.0110327673968302,0.0026438927055540593,12,125000.0,500000.0,4,16384,4,16384,13,2
2,13484032,13828096,823,840,18,15801,-583,15801,15801,1.6617989554528725,3.4216224858398276,0.007129220736769378,12,125000.0,500000.0,4,16384,4,16384,13,2
3,15990784,16334848,976,993,18,952,952,952,953,0.403379076687189,1.3338885126278126,0.0035389890660154763,12,125000.0,500000.0,4,16384,4,16384,13,2
4,20987904,21315584,1281,1297,17,144,144,144,145,0.30351648731020225,1.050698559851254,0.001701130765898127,12,125000.0,500000.0,4,16384,4,16384,13,2
5,25985024,26329088,1586,1603,18,15589,-795,15589,15589,0.2523012648032616,3.4424308536197152,0.0017385628577877691,12,125000.0,500000.0,4,16384,4,16384,13,2
6,28508160,28819456,1740,1755,16,725,725,725,725,0.9245314721574687,4.744929071810265,0.00625806873489261,12,125000.0,500000.0,4,16384,4,16384,13,2
7,33505280,33832960,2045,2061,17,16286,-98,16286,16286,0.9091783416567042,3.3561498279270983,0.003663636081222799,12,125000.0,500000.0,4,16384,4,16384,13,2
8,36012032,36306944,2198,2212,15,1546,1546,1546,1546,7.811022215134774,1.5473965813442974,0.010376313114702027,12,125000.0,500000.0,4,16384,4,16384,13,2
9,38486016,38846464,2349,2367,19,15363,-1021,15363,15363,5.3664649683709476,5.4365741085220565,0.009202409685713337,12,125000.0,500000.0,4,16384,4,16384,13,2
