event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,491520,835584,30,47,18,14740,-1644,14740,14740,11821.443367600234,3.40294549695063,0.33396830052309506,12,125000.0,500000.0,4,16384,4,16384,13,2
1,2998272,3342336,183,200,18,23,23,23,23,34410.68793152844,4.5822026567727825,0.5630478881204275,12,125000.0,500000.0,4,16384,4,16384,13,2
2,5505024,5865472,336,354,19,1582,1582,1582,1582,19955.446829813773,1.5074611282832138,0.27836593795596637,12,125000.0,500000.0,4,16384,4,16384,13,2
3,7995392,8339456,488,505,18,15521,-863,15521,15521,35352.06644669335,6.47900141237393,0.5951806047578564,12,125000.0,500000.0,4,16384,4,16384,13,2
4,10502144,10846208,641,658,18,753,753,753,753,36431.14726257371,6.585180955577986,0.5253764600768414,12,125000.0,500000.0,4,16384,4,16384,13,2
5,12992512,13336576,793,810,18,14675,-1709,14675,14675,16437.016401582423,1.0666239791212269,0.3354267740244447,12,125000.0,500000.0,4,16384,4,16384,13,2
6,15499264,15859712,946,964,19,16261,-123,16261,16261,43528.11097453191,7.711674724591282,0.6694495662150589,12,125000.0,500000.0,4,16384,4,16384,13,2
7,18006016,18350080,1099,1116,18,1553,1553,1553,1553,18923.7291123494,0.9247860577631053,0.268224120567744,12,125000.0,500000.0,4,16384,4,16384,13,2
8,20496384,20840448,1251,1268,18,15400,-984,15400,15401,24340.877218661622,0.8947588047155216,0.37162735685231224,12,125000.0,500000.0,4,16384,4,16384,13,2
9,23003136,23347200,1404,1421,18,584,584,584,584,30924.8722446565,2.582786769901742,0.45232713568869987,12,125000.0,500000.0,4,16384,4,16384,13,2
