method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,triggered_symbols,trigger_rate,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent,savaux_gate_margin_db
savaux,0,70,25,0.35714285714285715,0,0,0.655500500004564,9.364292857208056,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,21,0.3,4,0,1.185077199985244,16.929674285503488,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,20,0.2857142857142857,5,0,1.2098793000004662,17.28399000000666,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,20,0.2857142857142857,5,0,1.3284154000029957,18.977362857185653,0,0.0,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,20,0.2857142857142857,5,0,0.46584830000574584,6.654975714367798,22,0.3142857142857143,0_0_0_10_14_16,-23.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,25,0.35714285714285715,0,0,0.3471722999929625,4.95960428561375,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,23,0.32857142857142857,4,2,1.278362399985781,18.26231999979687,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,23,0.32857142857142857,3,1,1.2900775999951293,18.429679999930418,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,23,0.32857142857142857,3,1,1.4208894999756012,20.298421428222873,0,0.0,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,23,0.32857142857142857,3,1,0.4768340999762586,6.811915713946552,23,0.32857142857142857,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,29,0.4142857142857143,0,0,0.3200230000184092,4.571757143120132,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,24,0.34285714285714286,5,0,1.3306671000027563,19.009530000039376,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,25,0.35714285714285715,4,0,1.3371571000134281,19.102244285906117,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,25,0.35714285714285715,4,0,1.450067300003866,20.71524714291237,0,0.0,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,25,0.35714285714285715,4,0,0.49953979999554576,7.136282857079225,24,0.34285714285714286,0_0_0_10_14_16,-25.0,42,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,17,0.24285714285714285,0,0,0.2518628999896464,3.59804142842352,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,16,0.22857142857142856,1,0,1.1806227000015497,16.86603857145071,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,15,0.21428571428571427,2,0,1.212676700019074,17.323952857415343,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,15,0.21428571428571427,2,0,1.3129237000248395,18.756052857497707,0,0.0,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,15,0.21428571428571427,2,0,0.3619670000152837,5.170957143075482,19,0.2714285714285714,0_0_0_10_14_16,-23.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,21,0.3,0,0,0.23358930002359557,3.3369900003370794,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,18,0.2571428571428571,3,0,1.0693636999931186,15.27662428561598,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,17,0.24285714285714285,5,1,1.0302557999930286,14.717939999900409,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,16,0.22857142857142856,5,0,1.1200246999978845,16.000352857112635,0,0.0,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,16,0.22857142857142856,5,0,0.32421899999826564,4.631699999975224,22,0.3142857142857143,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,22,0.3142857142857143,0,0,0.22904669999115868,3.2720957141594096,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,20,0.2857142857142857,3,1,1.023267800006579,14.618111428665413,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,21,0.3,3,2,0.9596854999945208,13.709792857064583,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,21,0.3,3,2,1.0416350000195962,14.880500000279946,0,0.0,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,21,0.3,3,2,0.360756299996865,5.153661428526642,23,0.32857142857142857,0_0_0_10_14_16,-25.0,43,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,21,0.3,0,0,0.2690918000116653,3.844168571595219,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,17,0.24285714285714285,4,0,0.9864814000065962,14.09259142866566,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,17,0.24285714285714285,4,0,1.048012799994467,14.971611428492386,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap,8,70,17,0.24285714285714285,4,0,1.143991000000824,16.342728571440343,0,0.0,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8_wrap_gated,8,70,18,0.2571428571428571,3,0,0.31448279998949147,4.492611428421307,19,0.2714285714285714,0_0_0_10_14_16,-23.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
savaux,0,70,23,0.32857142857142857,0,0,0.2696508999906655,3.852155714152364,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
hamming_8,8,70,20,0.2857142857142857,3,0,1.1039837999960582,15.771197142800832,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
information_8,8,70,19,0.2714285714285714,4,0,1.114771100008511,15.925301428693015,0,0.0,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5,1.0
