dataset,snr_db,seed,symbol_count,gt_in_topk,savaux_ser,mean_pattern_ser,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_ser,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_ser,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_ser,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_ser,hybrid_mean_fix_vs_savaux,hybrid_mean_break_vs_savaux,hybrid_mean_changes_vs_savaux
0_0_0_10_14_32,-25.0,1,105,76,0.3619047619047619,0.37142857142857144,0,1,13,0.38095238095238093,0,2,14,0.38095238095238093,0,2,14,0.38095238095238093,0,2,5,0.3619047619047619,0,0,10
0_0_0_10_14_32,-25.0,2,105,77,0.3904761904761905,0.42857142857142855,0,4,18,0.41904761904761906,0,3,17,0.41904761904761906,0,3,17,0.3904761904761905,1,1,10,0.4,1,2,13
0_0_0_10_14_32,-25.0,42,105,76,0.37142857142857144,0.44761904761904764,4,12,35,0.4380952380952381,3,10,33,0.4380952380952381,3,10,32,0.4,0,3,14,0.4095238095238095,3,7,25
0_0_0_10_14_32,-26.0,1,105,74,0.41904761904761906,0.4666666666666667,0,5,22,0.44761904761904764,1,4,21,0.44761904761904764,1,4,21,0.41904761904761906,0,0,4,0.4380952380952381,0,2,16
0_0_0_10_14_32,-26.0,2,105,72,0.49523809523809526,0.5142857142857142,3,5,26,0.5142857142857142,3,5,26,0.5047619047619047,5,6,29,0.5047619047619047,1,2,13,0.49523809523809526,3,3,19
0_0_0_10_14_32,-26.0,42,105,73,0.4857142857142857,0.580952380952381,3,13,44,0.5904761904761905,1,12,41,0.6,0,12,39,0.5142857142857142,1,4,19,0.5714285714285714,1,10,33
0_0_0_10_14_8,-24.0,1,105,105,0.14285714285714285,0.14285714285714285,4,4,11,0.12380952380952381,4,2,9,0.13333333333333333,4,3,9,0.11428571428571428,3,0,4,0.12380952380952381,3,1,6
0_0_0_10_14_8,-24.0,2,105,105,0.08571428571428572,0.11428571428571428,1,4,8,0.11428571428571428,1,4,9,0.10476190476190476,1,3,8,0.08571428571428572,1,1,4,0.10476190476190476,1,3,7
0_0_0_10_14_8,-24.0,42,105,105,0.08571428571428572,0.12380952380952381,2,6,9,0.14285714285714285,0,6,6,0.14285714285714285,0,6,6,0.09523809523809523,0,1,1,0.11428571428571428,1,4,6
0_0_0_10_14_8,-25.0,1,105,100,0.23809523809523808,0.24761904761904763,5,6,21,0.2571428571428571,5,7,20,0.2571428571428571,5,7,21,0.24761904761904763,1,2,6,0.23809523809523808,4,4,14
0_0_0_10_14_8,-25.0,2,105,102,0.2,0.23809523809523808,3,7,15,0.23809523809523808,3,7,16,0.22857142857142856,4,7,17,0.20952380952380953,1,2,5,0.21904761904761905,3,5,12
0_0_0_10_14_8,-25.0,42,105,103,0.2,0.24761904761904763,2,7,17,0.26666666666666666,0,7,11,0.2571428571428571,1,7,13,0.24761904761904763,0,5,6,0.23809523809523808,1,5,10
0_0_0_10_14_8,-26.0,1,105,93,0.3619047619047619,0.4380952380952381,2,10,29,0.4380952380952381,1,9,25,0.41904761904761906,1,7,23,0.3619047619047619,1,1,7,0.38095238095238093,3,5,17
0_0_0_10_14_8,-26.0,2,105,94,0.3238095238095238,0.41904761904761906,3,13,27,0.38095238095238093,3,9,22,0.4095238095238095,2,11,24,0.3238095238095238,1,1,7,0.34285714285714286,4,6,18
0_0_0_10_14_8,-26.0,42,105,97,0.3333333333333333,0.3619047619047619,2,5,18,0.37142857142857144,2,6,15,0.3619047619047619,2,5,15,0.34285714285714286,1,2,6,0.34285714285714286,2,3,11
